frame_id,season,weather,lighting,human_detected,human_distance,thermal_confirmed,radar_activity,motion_ratio,point_count,moving_points,max_velocity,mean_velocity
013892,Summer,Indoor,Day,True,1.865,True,False,0.0,12,0,0.0,0.0
013902,Summer,Indoor,Day,True,3.425,True,True,0.21428571428571427,14,3,0.8209887146949768,0.14660512975284032
013912,Summer,Indoor,Day,True,1.585,True,True,0.92,25,23,0.8209887146949768,0.41049435853958127
013922,Summer,Indoor,Day,True,1.125,True,True,0.8333333333333334,18,15,1.0262359380722044,0.38768911941183937
013932,Summer,Indoor,Day,True,0.145,True,True,0.88,25,22,1.0262359380722044,0.44333391487598417
013942,Summer,Indoor,Day,True,1.375,True,True,0.23076923076923078,13,3,0.8209887146949768,0.12630595725316268
013952,Summer,Indoor,Day,True,1.515,True,False,0.0,11,0,0.0,0.0
013962,Summer,Indoor,Day,True,1.59,True,True,0.5217391304347826,23,12,1.0262359380722044,0.28556129660295404
013972,Summer,Indoor,Day,True,2.275,True,True,0.7142857142857143,14,10,0.8209887146949768,0.2199076914361545
013982,Summer,Indoor,Day,True,1.715,True,True,0.08333333333333333,12,1,0.2052471786737442,0.01710393155614535
013992,Summer,Indoor,Day,True,1.27,True,True,0.7857142857142857,14,11,1.0262359380722044,0.35185231055532185
014002,Summer,Indoor,Day,True,2.225,True,True,0.85,20,17,0.6157415509223938,0.4002320058643818
014012,Summer,Indoor,Day,True,3.715,True,True,0.8947368421052632,19,17,1.0262359380722044,0.4537042991111153
014022,Summer,Indoor,Day,True,2.115,True,True,0.8,15,12,1.0262359380722044,0.3831280718247096
